0.000036,0.000012,0.786060,-0.001610,0.004221,-0.048648,0.998806,-0.019081,0.026320,0.205264,0.287580,-0.321463,0.000919,-0.002964,-0.010675,-0.289988,0.296261,-0.289031,-0.026349,-0.006144,0.000931,-0.011627,-0.019415,1.660222,0.087275,1.463600,-0.096717,0.135692,-0.088616,-0.032907,-1.579243,-0.084649,1.388006,0.051930,0.065461,-0.144766
-0.000102,0.000122,0.785488,-0.002918,0.000586,-0.047570,0.998863,-0.008794,0.030325,0.209983,0.289438,-0.332450,-0.000877,0.007806,-0.010885,-0.302118,0.295650,-0.298613,-0.026059,-0.008471,0.002870,-0.004988,0.023913,1.674550,0.117530,1.395987,-0.112520,0.200245,-0.098142,-0.001627,-1.561408,-0.139215,1.300423,0.029222,0.141012,-0.163821
-0.000640,0.000331,0.785311,-0.003937,-0.002066,-0.046772,0.998896,-0.003684,0.031933,0.208762,0.290234,-0.333817,-0.001133,0.012863,-0.009885,-0.305143,0.296304,-0.300071,-0.026075,-0.010246,0.004181,0.000793,0.066218,1.675843,0.153583,1.350557,-0.118110,0.237601,-0.095281,0.028272,-1.546026,-0.210158,1.232089,-0.012973,0.195931,-0.169645
-0.001218,0.000579,0.785261,-0.004609,-0.004057,-0.046173,0.998915,-0.000366,0.032644,0.207456,0.290392,-0.333671,-0.000962,0.015820,-0.009357,-0.306656,0.297241,-0.300524,-0.026130,-0.011488,0.005037,0.005294,0.106415,1.672263,0.195446,1.318302,-0.115453,0.259787,-0.090304,0.058687,-1.526732,-0.294027,1.173560,-0.073916,0.238875,-0.172005
-0.001766,0.000867,0.785240,-0.005009,-0.005573,-0.045732,0.998926,0.001989,0.032789,0.206598,0.290392,-0.333367,-0.000562,0.017541,-0.009420,-0.307661,0.298529,-0.301000,-0.026097,-0.012311,0.005608,0.008782,0.144286,1.666170,0.242795,1.292631,-0.105827,0.274369,-0.085908,0.089624,-1.501140,-0.388210,1.117088,-0.150660,0.275897,-0.173965
-0.002292,0.001183,0.785222,-0.005202,-0.006761,-0.045414,0.998932,0.003568,0.032528,0.205969,0.290458,-0.333041,-0.000252,0.018438,-0.009933,-0.308318,0.300113,-0.301602,-0.026011,-0.012837,0.005978,0.011521,0.180135,1.657786,0.295563,1.269734,-0.089553,0.285706,-0.082645,0.119084,-1.467746,-0.491194,1.057733,-0.237098,0.307799,-0.170882
-0.002796,0.001511,0.785200,-0.005230,-0.007697,-0.045238,0.998933,0.004551,0.031966,0.205554,0.290622,-0.332736,-0.000019,0.018705,-0.010762,-0.308615,0.301957,-0.302354,-0.025932,-0.013245,0.006188,0.013684,0.214766,1.647247,0.353499,1.247254,-0.066715,0.296246,-0.080978,0.146310,-1.427812,-0.595978,0.994676,-0.328502,0.332905,-0.155946
-0.003275,0.001841,0.785171,-0.005102,-0.008443,-0.045200,0.998929,0.005126,0.031134,0.205381,0.290854,-0.332464,0.000187,0.018473,-0.011878,-0.308572,0.304069,-0.303281,-0.025860,-0.013642,0.006303,0.015394,0.248925,1.634382,0.416518,1.223787,-0.036925,0.307211,-0.081451,0.168578,-1.384529,-0.695473,0.930478,-0.418551,0.349367,-0.130325
-0.003721,0.002158,0.785138,-0.004847,-0.009049,-0.045198,0.998925,0.005508,0.030044,0.205320,0.290939,-0.332123,0.000417,0.017955,-0.013232,-0.308389,0.306311,-0.304363,-0.025784,-0.014075,0.006346,0.016751,0.282867,1.618989,0.484628,1.197681,0.000007,0.318764,-0.084925,0.184939,-1.342350,-0.781455,0.869549,-0.503049,0.358558,-0.099145
-0.004132,0.002434,0.785100,-0.004475,-0.009566,-0.045049,0.998929,0.005651,0.028765,0.205090,0.291173,-0.331842,0.000669,0.017371,-0.014768,-0.308375,0.308585,-0.305638,-0.025747,-0.014555,0.006337,0.017853,0.316052,1.600379,0.557961,1.167529,0.044241,0.331007,-0.091270,0.194712,-1.304326,-0.851770,0.816734,-0.577515,0.360864,-0.066810
